label,text
0,@Kadhayalla Nijam  thaa gay Punda Apo ne confirm gay tha
1,love you  too Nanba
1,Semma super 👍👍👍👍
1,Ava ka elom kadavuluka
1,Bro gay persons kalyanam panninaa kozhanda pethuka mutiyumaa apti patta person a paarthu irukingala
1,Vera leval romba super
1,Simple! Ungaluku pudikkalana kandukkaadheenga!
1,Prakash Durairaj.. naan saabam vidran.  Unaku poraka pora illana porantha pullainga homosexual illa lesbiana thaan irukum... ha ha ha. Respect others feeling.
1,nalla cinematic typela peasringa
1,@George Shankar  amanga enakku yarum gaynu sollitu summa time pass ku mgs panna varavangala kanda enakku suthama pudikkathu antha maari varavangala naa enna thittuvane theriyathu intha maari ethana pearu kelampi irukanunganu theriyala porikki pasanga 😡😠😡
1,Nanpa part 2 l am waiting😁😁😁😁
1,@jesus baby  tq dr
1,Thirunangai ku erukura manasu yaruku eruku
1,Well said 👏👏👏
1,Kadavul innum intha ulagatha vitu vachurukarla mothala avara sollanum
0,"Abdulla Abdulla unmai than.. un mathamum, un thai thathaiyum kude pirarai kevalam padutha kuthathu soonnathu than? Appuram nungge yen ippadi pannuringge?"
1,"Ulagathula evunga mathiri yaralaiumae anbu kata mudiyathu ,"
1,Vishwa Hanu nan loose ve irunthuttu poren enaku kavalai illa... ena pesurathunu theriyama pesura paru... oru kelvi nan unna asinga thittina ne chumma irupiya
0,"Orinaserkkai miga periya pavam, sothom komara patanathai theeiyinal azhitha Pavam...vendam Manam marungal,"
1,Naama kaasu poduradha modhalla niruthanum  somperinga eallaarum kaithatta aarampuchuttaanga
1,Child rapekuu oruu section create panaa therilaaa. Yedhuu ipooo naatukuu rombaaa mukiyaaam..
1,u r awesome
0,Enna krumam da Idhu
1,Kandipa Intha video ellarukum reachana nallarukum
1,"Thirunangaikku. Job iruntha avanga yean picha edukka poranga and matter ku poga poranga friends.... Namma society Thirunangai ya use panna mattum than pakkuthu, support pannala. Avangalum nammala mathri human being than.... Oru silla unmaiya na Thirunangai um irukkan ga.... Intha video la avanga yean thitturanga... Antha video la irunthu podama... Avanga thitturathu mattum podurarhu nalla thu illa...."
1,"(1) adultery (marriage aana apram mathavanga kooda relationship) support panni avanga edhum sollave illaye (2) age of consent innum maarala avanga pesnadhu ellame adults ku idaila dhan (3) animals pesura baashai namakku puriyadhu ji so animals mela namma affection vaikalam adhu namma mela affection vaikalam but animals ku sex ku consent solra alavuku arivilla, unlike humans. Edit: Porakkuradhu edho reproduce panradhukku dhan nu solreenga! But have u looked at the recent population status? Pirandhadhu manidha inathirku / ulagathuku edhachum useful ah irukkuradhuku not fr multiplication!"
1,Jai nanbaa super nanbaa
1,Ithu Original prank aaa..
1,Vera leval ya
1,super love you so much💗💗
1,Ivangale paathaa mathippaa irukk naan paarthathilaye romba azhagaana person manass ivanga thaa nnu manasaara solgiren
1,Bro vera Laval 👍👍👍
1,Dis like pottavala Otha manasa janmam daww 😡😡😡
1,Nee madu rathna unakku thariyumla
1,Moodra thyoli serupu pinchrum
1,Thirunagai vetchu eni mel prank venda namala mathiri avaga life ila pathu nadathukoga
1,i don't like ur speech
1,Aei.  Loosu..un ishtathuku pesathay
1,Ivanga entha movila ullavanga
1,Ayyo appaa alugaye varudhu 😕
1,Bro na ipo gugai la dhan irukken neenga enga irukinga
1,Super movie really my heart melting this movie but society Ku ithu epdi erukum nu therla avanga avangaloda culture and gowravam dha mukiyamo thavira manishangaluku oru malum mathipu kuduthathila sir manishana manishangala patha dhana mansula neriya kupaya vachita kanda nai la kevalama pesuranga avangalum sariya vaza matanga aduthuvangaliyum vaza Vida matanga ena oru mangeta sosity cast kadhi matham inam mozhi ithu elathiyum kadanthathu dhan kathal love yar mela venumnalum varlam that's nature pleas mathavangla unga commands la kaya paduthathinga love is not boundry
1,Fun panu ana romba pannatha..adutha video pakanuna koinjam neeta panu..
1,Super  akka 😍😍😍
1,Part 2 nu subscribe a alayavidathinga da sikram podunga da
1,@NATPU SIRAI.  🙏
1,Super Anna 👌
1,Entha oorula nee busla unkita amt pudungunanga tirupur la apdi ellm kitaiyathu
1,Neega Panna prank la idhu tha  super Vera level bro
1,Jailla putichi potuga sir
0,Unna solli thappu ilama ipdi oru padaipa ulagathuku kodutharu pathiya avara solanum...pls god innum evlo kevalam intha ulagathla nadakanum plsssss destroy this world
1,Ipo ena padikera
1,Elaru kitayumada prank panringa
1,Entha padathula nadichanga
1,Hi அக்கா I like your voice 👍
0,Emma ne sapadula samparuku bathila saniya oothi sapduviya
1,Yes enna solradhu 🤦🏻
1,Envaga va vara level amma
1,Uanmailaiye naan partha prank video la rompa rompa best video semma semma
1,M A D A N FAN AH IRUPANGALOOO.....
1,Dude unga n.o thara kedaikuma
1,8925745362 call Chennai
1,Appo adikadi poringkapola
1,Plzzz don't say dii 🙏 respect must
0,3:10 ladyku pathil sollunga parpom...thavarana seyaluku muttu kodukka ninaipatu thavaru...
1,Acho antha akka rmba anbanavanga...avangala ipdi emathitingale broo
1,Intro la ivalavu nallavar maathiri solringa apa en transgender endu podu irukiringa 
1,Ithana naal sirichu sirichu aluthen unga video paathu inikku aana apdi ae maathitinga bhaa❤️ best ever video bhaa😭 ❤️ antha awareness kondu vantinga ponga ✨ all the best team ❣️
1,I will talk to u malini bro
1,Nice video bro....😀
1,Madras film rithvika mathiri irukanga super
1,Isssshhh apha ingaiyum vanthutingala da Samy
1,Super Anna
1,Iyarkaina ennanu theriyadhavangadhan idha edhirppanga.
1,ama ppu oru kodi ppu oru kodi ne paatha ama ppu oru kodi..
1,Superb bro unga videos ellam nallarukuu
1,Unakaguluku pudikum❤❤❤😇😇😇 Anbe sivam🥰🥰🥰🙏
1,Akka neenga romba nalla ierukganum
1,Evalam oru aalunu eva pettiya poduruggi
1,@gpbro  varenda koTha kundila irukka vanchara meena EtoKka
1,I
1,DANIEL LEO u can try me... hahaha... clown
1,Athuthaan illa ivanga hospital irunthu artificialah pethukurunga and antha kolanthaigalium ippdi valakuranga
1,Ne Yaruku poradha nu unga veetla ketu Sollu da...
1,thirunangai kalainjr vaitha peyar. unmaiyana anbu ullavargal thirunangaigal.
1,Kannu kalanguthu bro 😢
1,Nalla nadikiran pa vera leval
1,zoom panni paturukingge pole G....hahaha
1,Super 👌 akka❤️❤️
1,Neenga ithu varai suya punarchi pannunathey illaya.. aan punarchikku samamaana paavam suya punarchi.. aanaal neengal yen aan punarchiya mattum paavam nu solringa
1,All lives matter
2,SUPERSTAR VIJAY  ennaa paiyana thandi pethanga unna eppadi pethangalo appadi  iru ethuggu trans avara punda
1,"@Ayy Ar  no dear, don't thing about that,nettu malaiyile nanaingiccutten bayangarama fivar maramatiri irunttatu.atan nalla paduttu tungitten.ippo OK.uyir pirintalum unai piriyata varam onru peravendum.atutan unmaiyana natpirku adaiyalam.i miss you so much, I love you baby. Why bro unga kuda chatpannikittu irukkum bote full temp agi moodagidutu.unga kitta appadi oru kanta sakti irukunu ninaikiren.velaiku kilambiyacca machi."
1,"Theni, Aadu, Singam, ithu ellaam orina serkai iruku. Namba thaan aatha thappunu solrom"
1,8:35 Goosebumps 💥
1,Bro kutty request part 1 part 2 nu prikathiga bra single video mattum poduga please bro
1,Bro nangalum srilanka than
1,Sis or bro vikragam nu bible soldrathu hindu madhatha pinpatraatha nu idha neenga public ah sollungale. Idha pesaama neenga homosexual pathi mattum pesurathu crt ah .neenga soldrathu niyayame illa bible la irukka ellathaum neenga follow pandringala idhu thappunnu soldringa .hetro sexual ah God creat pannirukangannu homosexual ah saathan ah create pannuna avanukku andha adhigaaram illa
1,Do u act like man
1,7. Ponnuka kuda pesa paya padarathu 90kids... 
1,Next level 🎉🔥
1,Super akka great sister🌹👍
1,yenaku ungala patha Bayama iruku...
1,Emma seting thala
1,Thayavu senju avangala prank  panathenga avangalukum manasu iruku bye bro
1,Video endla sama🔥🔥🔥
1,Andha thirunangai Akka ikku romba periya manasu
1,Bro Nan Enna solla🙏🙏🙏🙏🙏😭😭😭
1,Na ungla meet pannum malini pls
1,5:56 yarupa nee engirunthu vanthaaaa😅
1,Anna ethu natippa enna nu enakku thayriyala ana reyaly veea level i cannot control my tier 😣😣😣
1,Kettu kutti chevura pongada...
1,Vera level consapt bro
1,@Nawa Nawa   hi
1,Ohh kooti koduthuduva nariya experience pola. Nalla businessoo poda dei
1,Dei nan veetula ponna luv pandra sonnala serupala adipanga ithula nan engatha pana pora
