label,text
0,kadhayalla jam that gay panda ago ne confirm gay the
1,love you too wanna
1,summa super thumbs up thumbs up thumbs up thumbs up
1,lava ka elm kadavuluka
1,pro gay persons kalyanam panning kozhanda pethuka mutiyumaa apt pasta person a paarthu irukingala
1,very level rumba super
1,simple ungaluku pudikkalana kandukkaadheenga
1,rakish durairaj naan samba viral snake pork port island piranha pulling homosexual ill lesbian than irukum ha ha ha respect others feeling
1,calla cinematic type peasringa
1,gorge hangar among enakku arum gay jollity summa time pass u mugs wanna varavangala kinda enakku suthama pudikkathu anta marry varavangala nap anna thittuvane theriyathu into marry ethane pearl kelampi irukanunganu theriyala porikki lasagna enraged face angry face enraged face
1,wanna part 2 l am waiting beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes
1,jess baby to do
1,thirunangai u erukura manas yaruku erupt
1,well said clapping hands clapping hands clapping hands
1,karakul inner into ulagatha vita vachurukarla mothball vara solanum
0,medulla medulla unman than in mathamum in that thathaiyum dude piraña kevalam padutha kuthathu soonnathu than appuram jungle yen ippadi pannuringge
1,ulagathula evunga mathiri yaralaiumae and data mudiyathu
1,visa hand nan loose we irunthuttu porn snake kamala ill end pesurathunu theriyama cesura part or kelvin nan anna asking hitting ne chummy irupiya
0,orinaserkkai mega period pavan bottom koala patanathai theeiyinal azhitha pavan venom madam marungal
1,name kvass poduradha modally niruthanum simpering eallaarum kaithatta aarampuchuttaanga
1,child rapekuu out section create panda therilaaa yedhuu poor naatukuu rombaaa mukiyaaam
1,u r awesome
0,anna brumal a idea
1,candida into video ellarukum reaching nallarukum
1,thirunangaikku job iruntha avenge yean pacha pukka orange and matter u yoga orange friends gamma society thirunangai ya use wanna matter than pakkuthu support annals avangalum mammals math human being than or silly unmaiya a thirunangai um irukkan a into video la avenge yean thitturanga anta video la irunthu pajama avenge thitturathu matter podurarhu calla the ill
